polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,40,97.0%,0.9198419042543743,0.022548026629870623,"Wind und Sonne sind schön, aber Strom muss gespeichert werden können. Investitionen in die Forschung sind notwendig"
2,428,100.0%,0.9,0.00029819234495018736,Wiens Dachflächen mit PV Ausstatten statt Ackerflächen verbauen
3,268,100.0%,0.8869565217391305,0.0008297954538128836,"Stromnetze ausbauen, damit möglichst viel Strom von Photovoltaikanlagen eingespeist werden kann."
4,71,96.2%,0.8653124097429479,0.01032828336253994,Dualnutzung versiegelten Flächen zB Energieerzeugung bei Stellplätzen
5,184,95.4%,0.8617489008304836,0.0017751914646951942,"Österreich hat über 26 Thermalquelen,bei denen man die Ablauftemperatur von ca.30 Grad Celsius verwenden könnte."
6,160,98.5%,0.8617312965139051,0.0023765268705981495,Abwärme von Produktionsprozessen nutzen für Fernwärme oder zur Warmwasserbereitung
7,315,95.2%,0.8571428571428572,0.0005807432157373437,"Borkenkäferholz zu Heizmaterial verarbeiten (Hackschnitzel, Pellets, etc.) und neue Bäume nachpflanzen"
8,186,94.8%,0.8493683187560739,0.0017578419742990165,Jauche und Kompost für Biogasgewinnung einsetzen anstatt das Gas ungenützt in die Atmosphäre ablassen oder zu verbrennen!
9,47,95.2%,0.8451965260990241,0.020557060772133647,"Stromnetze verstärken, damit große Dächer komplett mit PV Anlagen belegt werden können und der Strom auch eingespeist werden kann."
10,56,94.4%,0.8435374149659863,0.01540780032790324,"Die Transformation des Energiesystems wird nur gelingen, wenn wir ausreichend Fachkräfte haben."
11,505,100.0%,0.8369565217391305,0.0001315263021372748,Vorschriften/Richtlinien für die Installation von PV lockern. DIY-Installationen über 800 W sollen möglich sein.
12,158,96.9%,0.8343868520859671,0.002442986261992814,Energieberater dürfen kein Lobbyisten sein!
13,10,92.9%,0.8339608937479692,0.05273052947750907,Klimarat: Der Umstieg auf erneuerbare Energiequellen muss für alle leistbar sein.
14,69,95.0%,0.8327365728900256,0.01086328111567104,Photovoltaikpaneele als Lärmschutzwände an Autobahnen anstatt Beton
