polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,69,95.2%,0.8277027027027027,0.0046119639417962115,"Schools need to teach more critical thought, so citizens may more closely examine political platforms/arguments & hold officials to account"
2,1,97.7%,0.8240802675585285,0.037515264032017596,It’s important to increase voter education.
3,18,95.1%,0.7945736434108528,0.02171787779240036,I am eligible to vote in Canada.
4,26,87.5%,0.7266968325791855,0.017656158324580874,It's unacceptable to compromise on either the secret ballot or the verifiability of elections even if it would making voting more convenient
5,17,87.4%,0.7260726072607261,0.02233742990669814,I have a good understanding of alternative electoral systems.
6,4,95.2%,0.7155963302752294,0.03021868846084957,Many Canadians don’t vote because they feel a sense of apathy towards their government and politics in general.
7,66,95.8%,0.6810631229235881,0.005141117222431373,Political education is an important element in schooling
8,36,96.2%,0.6799999999999999,0.014461612138384917,I think all parties have self-interest biases.
9,3,89.3%,0.6652173913043479,0.030499670541003998,I always vote.
10,19,85.0%,0.662847790507365,0.021506863809820063,I understand how mixed-member proportional representation works.
11,9,88.1%,0.6571428571428571,0.02466541980431931,The government needs to engage in more discussions with all citizens.
12,49,92.6%,0.6548387096774193,0.010018123353579817,"I think that a good consultation tool/process, be it digital or in-person, should allow participants (not just moderators) to shape conversation."
13,2,93.7%,0.6545454545454545,0.03133078560275943,We need better educational systems in place to inform voters on important issues.
14,88,100.0%,0.6436781609195402,0.001584939151882435,Those who support overrepresented parties are more likely to oppose electoral reform.
15,77,97.1%,0.6285714285714286,0.002619217056889639,I think Canada would be worse off if we had only two parties.
16,41,86.4%,0.6272727272727273,0.013180163269493866,Parties should be a tool to help MPs be effective representatives of their constituents but often see MPs only as their representatives.
17,35,88.6%,0.6222222222222221,0.014835918821190527,Minority rights must be protected by Parliament.
18,25,88.7%,0.6198568872987478,0.018302373075056177,I live in an urban (not a rural) area
19,29,81.0%,0.6153846153846154,0.016471933581469412,I understand how single transferable vote (STV) works.
20,58,91.1%,0.6122448979591837,0.006571366584265029,Sometimes I disagree with a candidate or party so much that I will vote for anyone else.
21,43,75.3%,0.6116774791473586,0.012616683625695848,"At present, no online voting system is immune to hacking, and therefore, is too risky for elections that matter."
